dataset,mem_mode,w_mode,run,acc_aupr_opt_thr,acc_auroc_opt_thr,ap,ap_inherent,au_pr_score,au_roc_score,auc_inherent,f1_aupr_opt_thr,f1_auroc_opt_thr,opt_thr_au_pr,opt_thr_au_roc,prec_aupr_opt_thr,prec_auroc_opt_thr,rec_aupr_opt_thr,rec_auroc_opt_thr
lastfm,window_freq_weight,avg_reoccur,0,0.7660713575953296,0.7710095019252268,0.8205551319404502,0.8205551319404502,0.8754355257880178,0.8299738381503907,0.8299738381503907,0.6987061511625722,0.712818856593042,0.8051745191870049,0.7118530161781653,0.9161462974674606,0.9179832651924014,0.5826388647372996,0.5928502049434853
lastfm,window_freq_weight,fixed,0,0.7955492795925971,0.803987423922494,0.8436066578274171,0.8436066578274171,0.8797882058583287,0.8576396828538848,0.8576396828538848,0.7516029490674417,0.7745442554596753,0.8660062208333348,0.7237445706295914,0.8913507214013681,0.8909397597568202,0.6714319960253384,0.690581480561421
mooc,freq_weight,fixed,0,0.5359252586018624,0.5335690531498799,0.5495238547228345,0.5495238547228345,0.5656898915350845,0.5524711687380274,0.5524711687380274,0.3556773746743435,0.2855588243834915,0.7251742616155927,,0.5960278168996682,0.6236395528626618,0.315446224710624,0.2005236563623007
mooc,repeat_freq,fixed,0,0.5268611888736672,0.5,0.5183665439995139,0.5183665439995139,0.5873446191056685,0.5268611888736672,0.5268611888736672,0.2540522168647886,0.0,0.0,,0.5928931713421567,1.0,0.16359213373836046,0.0
mooc,time_window,avg_reoccur,0,0.5924179522306271,0.5,0.5716598109361019,0.5716598109361019,0.6977306102668177,0.5924179522306273,0.5924179522306273,0.39277975079940114,0.0,0.0,1.0,0.7603829450754979,1.0,0.2701565509162746,0.0
mooc,time_window,fixed,0,0.6076771993567216,0.5,0.5789390080603094,0.5789390080603094,0.6977675356256057,0.6076771993567216,0.6076771993567216,0.47093634161875836,0.0,0.0,1.0,0.7185227913854262,1.0,0.35402455973157027,0.0
mooc,unlim_mem,fixed,0,0.5469608573073639,0.5,0.5287443772530663,0.5287443772530663,0.6391415093562898,0.547591925268529,0.547591925268529,0.4851683377434047,0.0,0.003236245954692557,,0.5622348357795632,1.0,0.43183781047114184,0.0
mooc,window_freq_weight,avg_reoccur,0,0.5829842952726983,0.5500768360235869,0.5820765688640741,0.5820765688640741,0.6782725559853134,0.5938965828183098,0.5938965828183098,0.34885248691890236,0.22615626235607275,0.26196852132275933,0.7013612619978314,0.7886132279805007,0.7939725801191742,0.24051253797129077,0.1350190600988743
mooc,window_freq_weight,fixed,0,0.5937775229813171,0.5646752337840253,0.5946164003808456,0.5946164003808456,0.6669529214164412,0.6106180325688587,0.6106180325688587,0.40719420512522686,0.303741451925,0.33443375337336834,0.6993269297666911,0.7399544182344491,0.749041001485515,0.3065488315762305,0.193131713224929
uci,freq_weight,fixed,0,0.7396616161616161,0.7226489898989898,0.7750758286136097,0.7750758286136097,0.8745529153386696,0.7761286621900827,0.7761286621900827,0.6539650246866261,0.6171000076675461,0.4620981203732968,0.6931471805599452,0.966155139993717,0.9731643284351478,0.4967171717171717,0.4582020202020202
uci,repeat_freq,fixed,0,0.6446035353535353,0.5,0.6835802926720681,0.6835802926720681,0.8360276884480525,0.6870479797979799,0.6870479797979799,0.43047756986042063,0.0,0.15555555555555556,1.0,0.984125887868995,1.0,0.2949848484848485,0.0
uci,time_window,avg_reoccur,0,0.6109242424242425,0.5,0.6104524120354161,0.6104524120354161,0.8034957606953529,0.6109242424242425,0.6109242424242425,0.3550625449398369,0.0,0.0,1.0,0.9955672789664636,1.0,0.22284848484848482,0.0
uci,time_window,fixed,0,0.5860454545454544,0.5,0.7584408866192146,0.7584408866192146,0.8754665116442627,0.7628232323232323,0.7628232323232323,0.24184882465578256,0.0,0.6,1.0,0.9937601603406689,1.0,0.1749141414141414,0.0
uci,unlim_mem,fixed,0,0.5738838383838384,0.5,0.7612014871167113,0.7612014871167113,0.8715035126224778,0.7726060606060605,0.7726060606060605,0.20835439997332328,0.0,0.6666666666666666,1.0,0.984980392565595,1.0,0.1551616161616162,0.0
uci,window_freq_weight,avg_reoccur,0,0.6109242424242425,0.5473560606060605,0.6107788257983032,0.6107788257983032,0.8035756342434632,0.6109678535353535,0.6109678535353535,0.3550625449398369,0.16437598056215322,0.0,0.6931471805599452,0.9955672789664636,0.9991452991452991,0.22284848484848482,0.0948232323232323
uci,window_freq_weight,fixed,0,0.7272121212121211,0.7032297979797979,0.7632979778967488,0.7632979778967488,0.8762514404869846,0.7639361644857667,0.7639361644857667,0.6257274685691455,0.5736106433803874,0.415888308335967,0.6931471805599452,0.9864608358653711,0.989381295859968,0.4608030303030303,0.41101515151515144
wikipedia,freq_weight,fixed,0,0.8872448979591838,0.8872448979591838,0.9091121405292701,0.9091121405292701,0.9525828436499795,0.9094762054821929,0.9094762054821929,0.8720217347376127,0.8720217347376127,0.7008471026765349,0.7008471026765349,0.9939285300227,0.9939285300227,0.7792376950780312,0.7792376950780312
wikipedia,repeat_freq,fixed,0,0.509810924369748,0.5,0.8257092542502376,0.8257092542502376,0.9123854282525388,0.8265716286514607,0.8265716286514607,0.026785277234644793,0.0,0.957983193277311,1.0,0.9998152214854771,1.0,0.019705882352941174,0.0
wikipedia,time_window,avg_reoccur,0,0.5577100840336136,0.5,0.7736212619124102,0.7736212619124102,0.8864253405302028,0.7740716286514605,0.7740716286514605,0.1596126759891775,0.0,0.7394957983193278,1.0,0.9994539426518982,1.0,0.11567226890756303,0.0
wikipedia,time_window,fixed,0,0.501764705882353,0.5,0.8690222413629044,0.8690222413629044,0.9340226168023772,0.8702701080432174,0.8702701080432174,0.004995004995004995,0.0,0.9915966386554622,1.0,0.9999022864959938,1.0,0.0035714285714285713,0.0
wikipedia,unlim_mem,fixed,0,0.5,0.5,0.9033601116311447,0.9033601116311447,0.9507536787684968,0.9072468987595037,0.9072468987595037,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
wikipedia,window_freq_weight,avg_reoccur,0,0.7410664265706284,0.7319067627050819,0.7740250419832747,0.7740250419832747,0.8864326372040711,0.7741826580632252,0.7741826580632252,0.6480668595090816,0.6292840861480122,0.512579427640968,0.6931471805599454,0.9988066833442553,0.9990859673163398,0.4827210884353742,0.464233693477391
wikipedia,window_freq_weight,fixed,0,0.8392927170868346,0.8392296918767507,0.8707030547564836,0.8707030547564836,0.9344734974552701,0.8708179021608643,0.8708179021608643,0.8067709096251447,0.8066205471134675,0.6873224143367527,0.6931471805599454,0.9980274228036811,0.9981251363076873,0.6799299719887957,0.6797619047619049
