,dataset,mem_mode,w_mode,run_mean,run_std,acc_aupr_opt_thr_mean,acc_aupr_opt_thr_std,acc_auroc_opt_thr_mean,acc_auroc_opt_thr_std,ap_mean,ap_std,ap_inherent_mean,ap_inherent_std,au_pr_score_mean,au_pr_score_std,au_roc_score_mean,au_roc_score_std,auc_inherent_mean,auc_inherent_std,f1_aupr_opt_thr_mean,f1_aupr_opt_thr_std,f1_auroc_opt_thr_mean,f1_auroc_opt_thr_std,opt_thr_au_pr_mean,opt_thr_au_pr_std,opt_thr_au_roc_mean,opt_thr_au_roc_std,prec_aupr_opt_thr_mean,prec_aupr_opt_thr_std,prec_auroc_opt_thr_mean,prec_auroc_opt_thr_std,rec_aupr_opt_thr_mean,rec_aupr_opt_thr_std,rec_auroc_opt_thr_mean,rec_auroc_opt_thr_std
62,mooc,window_freq_weight,fixed,0.0,,0.5938,,0.5647,,0.5946,,0.5946,,0.667,,0.6106,,0.6106,,0.4072,,0.3037,,0.3344,,0.6993,,0.74,,0.749,,0.3065,,0.1931,
63,uci,freq_weight,fixed,0.0,,0.7397,,0.7226,,0.7751,,0.7751,,0.8746,,0.7761,,0.7761,,0.654,,0.6171,,0.4621,,0.6931,,0.9662,,0.9732,,0.4967,,0.4582,
64,uci,repeat_freq,fixed,0.0,,0.6446,,0.5,,0.6836,,0.6836,,0.836,,0.687,,0.687,,0.4305,,0.0,,0.1556,,1.0,,0.9841,,1.0,,0.295,,0.0,
65,uci,time_window,avg_reoccur,0.0,,0.6109,,0.5,,0.6105,,0.6105,,0.8035,,0.6109,,0.6109,,0.3551,,0.0,,0.0,,1.0,,0.9956,,1.0,,0.2228,,0.0,
66,uci,time_window,fixed,0.0,,0.586,,0.5,,0.7584,,0.7584,,0.8755,,0.7628,,0.7628,,0.2418,,0.0,,0.6,,1.0,,0.9938,,1.0,,0.1749,,0.0,
67,uci,unlim_mem,fixed,0.0,,0.5739,,0.5,,0.7612,,0.7612,,0.8715,,0.7726,,0.7726,,0.2084,,0.0,,0.6667,,1.0,,0.985,,1.0,,0.1552,,0.0,
68,uci,window_freq_weight,avg_reoccur,0.0,,0.6109,,0.5474,,0.6108,,0.6108,,0.8036,,0.611,,0.611,,0.3551,,0.1644,,0.0,,0.6931,,0.9956,,0.9991,,0.2228,,0.0948,
69,uci,window_freq_weight,fixed,0.0,,0.7272,,0.7032,,0.7633,,0.7633,,0.8763,,0.7639,,0.7639,,0.6257,,0.5736,,0.4159,,0.6931,,0.9865,,0.9894,,0.4608,,0.411,
70,wikipedia,freq_weight,fixed,0.0,,0.8872,,0.8872,,0.9091,,0.9091,,0.9526,,0.9095,,0.9095,,0.872,,0.872,,0.7008,,0.7008,,0.9939,,0.9939,,0.7792,,0.7792,
71,wikipedia,repeat_freq,fixed,0.0,,0.5098,,0.5,,0.8257,,0.8257,,0.9124,,0.8266,,0.8266,,0.0268,,0.0,,0.958,,1.0,,0.9998,,1.0,,0.0197,,0.0,
72,wikipedia,time_window,avg_reoccur,0.0,,0.5577,,0.5,,0.7736,,0.7736,,0.8864,,0.7741,,0.7741,,0.1596,,0.0,,0.7395,,1.0,,0.9995,,1.0,,0.1157,,0.0,
73,wikipedia,time_window,fixed,0.0,,0.5018,,0.5,,0.869,,0.869,,0.934,,0.8703,,0.8703,,0.005,,0.0,,0.9916,,1.0,,0.9999,,1.0,,0.0036,,0.0,
74,wikipedia,unlim_mem,fixed,0.0,,0.5,,0.5,,0.9034,,0.9034,,0.9508,,0.9072,,0.9072,,0.0,,0.0,,1.0,,1.0,,1.0,,1.0,,0.0,,0.0,
75,wikipedia,window_freq_weight,avg_reoccur,0.0,,0.7411,,0.7319,,0.774,,0.774,,0.8864,,0.7742,,0.7742,,0.6481,,0.6293,,0.5126,,0.6931,,0.9988,,0.9991,,0.4827,,0.4642,
76,wikipedia,window_freq_weight,fixed,0.0,,0.8393,,0.8392,,0.8707,,0.8707,,0.9345,,0.8708,,0.8708,,0.8068,,0.8066,,0.6873,,0.6931,,0.998,,0.9981,,0.6799,,0.6798,
